1	1	3	1
1	2	3	1
1	3	3	1
4	1	9	2
4	2	9	2
4	3	9	2
4	4	9	2
4	5	9	2
4	6	9	2
4	7	9	2
4	8	9	2
4	9	9	2
5	1	8	3
5	2	8	3
5	3	8	3
5	4	8	3
5	5	8	3
5	6	8	3
5	7	8	3
5	8	8	3
6	1	4	4
6	2	4	4
6	3	4	4
6	4	4	4
11	1	8	5
11	2	8	5
11	3	8	5
11	4	8	5
11	5	8	5
11	6	8	5
11	7	8	5
11	8	8	5
14	1	8	6
14	2	8	6
14	3	8	6
14	4	8	6
14	5	8	6
14	6	8	6
14	7	8	6
14	8	8	6
17	1	10	7
17	2	10	7
17	3	10	7
17	4	10	7
17	5	10	7
17	6	10	7
17	7	10	7
17	8	10	7
17	9	10	7
17	10	10	7
18	1	10	8
18	2	10	8
18	3	10	8
18	4	10	8
18	5	10	8
18	6	10	8
18	7	10	8
18	8	10	8
18	9	10	8
18	10	10	8
19	1	10	9
19	2	10	9
19	3	10	9
19	4	10	9
19	5	10	9
19	6	10	9
19	7	10	9
19	8	10	9
19	9	10	9
19	10	10	9
21	1	3	10
21	2	3	10
21	3	3	10
23	1	2	11
23	2	2	11
25	1	1	12
26	1	10	13
26	2	10	13
26	3	10	13
26	4	10	13
26	5	10	13
26	6	10	13
26	7	10	13
26	8	10	13
26	9	10	13
26	10	10	13
35	1	6	14
35	2	6	14
35	3	6	14
35	4	6	14
35	5	6	14
35	6	6	14
39	1	6	15
39	2	6	15
39	3	6	15
39	4	6	15
39	5	6	15
39	6	6	15
40	1	5	16
40	2	5	16
40	3	5	16
40	4	5	16
40	5	5	16
41	1	3	17
41	2	3	17
41	3	3	17
42	1	9	18
42	2	9	18
42	3	9	18
42	4	9	18
42	5	9	18
42	6	9	18
42	7	9	18
42	8	9	18
42	9	9	18
45	1	9	19
45	2	9	19
45	3	9	19
45	4	9	19
45	5	9	19
45	6	9	19
45	7	9	19
45	8	9	19
45	9	9	19
48	1	1	20
56	1	9	21
56	2	9	21
56	3	9	21
56	4	9	21
56	5	9	21
56	6	9	21
56	7	9	21
56	8	9	21
56	9	9	21
57	1	8	22
57	2	8	22
57	3	8	22
57	4	8	22
57	5	8	22
57	6	8	22
57	7	8	22
57	8	8	22
68	1	2	23
68	2	2	23
69	1	3	24
69	2	3	24
69	3	3	24
75	1	4	25
75	2	4	25
75	3	4	25
75	4	4	25
76	1	1	26
77	1	5	27
77	2	5	27
77	3	5	27
77	4	5	27
77	5	5	27
80	1	4	28
80	2	4	28
80	3	4	28
80	4	4	28
85	1	4	29
85	2	4	29
85	3	4	29
85	4	4	29
90	1	1	30
91	1	5	31
91	2	5	31
91	3	5	31
91	4	5	31
91	5	5	31
93	1	9	32
93	2	9	32
93	3	9	32
93	4	9	32
93	5	9	32
93	6	9	32
93	7	9	32
93	8	9	32
93	9	9	32
94	1	6	33
94	2	6	33
94	3	6	33
94	4	6	33
94	5	6	33
94	6	6	33
98	1	10	34
98	2	10	34
98	3	10	34
98	4	10	34
98	5	10	34
98	6	10	34
98	7	10	34
98	8	10	34
98	9	10	34
98	10	10	34
99	1	9	35
99	2	9	35
99	3	9	35
99	4	9	35
99	5	9	35
99	6	9	35
99	7	9	35
99	8	9	35
99	9	9	35
101	1	3	36
101	2	3	36
101	3	3	36
102	1	4	37
102	2	4	37
102	3	4	37
102	4	4	37
103	1	3	38
103	2	3	38
103	3	3	38
106	1	8	39
106	2	8	39
106	3	8	39
106	4	8	39
106	5	8	39
106	6	8	39
106	7	8	39
106	8	8	39
108	1	6	40
108	2	6	40
108	3	6	40
108	4	6	40
108	5	6	40
108	6	6	40
116	1	6	41
116	2	6	41
116	3	6	41
116	4	6	41
116	5	6	41
116	6	6	41
122	1	5	42
122	2	5	42
122	3	5	42
122	4	5	42
